author,place_of_birth,lat_place_of_birth,long_place_of_birth,country_of_birth
Juan Abreu,Havana,23.13666667,-82.35888889,Cuba
Margarita Aguirre,Santiago,-33.4375,-70.65,Chile
Claribel Alegría Vides,Estelí,13.09309167,-86.35544722,Nicaragua
Rodolfo Alonso,Buenos Aires,-34.59972222,-58.38194444,Argentina
Jorge Amado,Itabuna,-14.78583333,-39.28,Brazil
Reinaldo Arenas Fuentes,Aguas Claras,20.94733234,-76.26779799,Cuba
Antón Arrufat,Santiago de Cuba,20.02166667,-75.82944444,Cuba
Miguel Ángel Asturias Rosales,Guatemala City,14.60986111,-90.52525,Guatemala
Francisco Ayala,Granada,37.17805556,-3.600833333,Spain
Antonio Benítez-Rojo,Havana,23.13666667,-82.35888889,Cuba
José Bianco,Buenos Aires,-34.59972222,-58.38194444,Argentina
Jorge Luis Borges,Buenos Aires,-34.59972222,-58.38194444,Argentina
Guillermo Cabrera Infante,Gibara,21.10722222,-76.13666667,Cuba
Bernardo Canal Feijóo,Santiago del Estero,-27.78444444,-64.26694444,Argentina
J. G. Cobo Borda,Bogotá,4.60971,-74.08175,Colombia
Julio Florencio Cortazar,City of Brussels,50.84666667,4.351666667,Belgium
Edgardo Cozarinsky,Buenos Aires,-34.59972222,-58.38194444,Argentina
Arcadio Díaz Quiñones,Puerto Rico,18.25,-66.5,United States of America
Jorge Díaz,Rosario,-32.9575,-60.63944444,Argentina
Eliseo Diego,Havana,23.13666667,-82.35888889,Cuba
José Donoso,Santiago,-33.4375,-70.65,Chile
Jorge Edwards,Santiago,-33.4375,-70.65,Chile
Diamela Eltit,Santiago,-33.4375,-70.65,Chile
Claude Esteban,Paris,48.85666667,2.352222222,France
Rosario Ferré,Ponce,18.01083333,-66.61361111,United States of America
Enrique Fierro,Montevideo,-34.86666667,-56.16666667,Uruguay
Ida Vitale,Montevideo,-34.86666667,-56.16666667,Uruguay
Carlos Franqui,Cifuentes,22.62083333,-80.06611111,Cuba
Carlos Fuentes,Panama City,9,-79.5,Panama
Gabriel García Márquez,Aracataca,10.59111111,-74.185,Colombia
Rogelio García Lupo,Buenos Aires,-34.59972222,-58.38194444,Argentina
Juan García Ponce,Mérida,20.97,-89.62,Mexico
Lorenzo García Vega,Jagüey Grande,22.52916667,-81.1325,Cuba
Elena Garro,Puebla City,19.05138889,-98.21777778,Mexico
Juan Gelman,Buenos Aires,-34.59972222,-58.38194444,Argentina
Alberto Girri,Buenos Aires,-34.59972222,-58.38194444,Argentina
Margo Glantz,Mexico City,19.41944444,-99.14555556,Mexico
Severo Sarduy,Camagüey,21.37861111,-77.91861111,Cuba
Roberto Gottardi,Venice,45.43972222,12.33194444,Italy
Pedro Juan Gutiérrez,Matanzas,23.049444,-81.573611,Cuba
Reynaldo Hahn,Caracas,10.5,-66.93333333,Venezuela
Lorenzo Homar,San Juan,18.46555556,-66.11805556,United States of America
Jorge Ibargüengoitia,Guanajuato City,21.01777778,-101.2566667,Mexico
Tamara Kamenszain,Buenos Aires,-34.59972222,-58.38194444,Argentina
Sonja Petra Karsen,Berlin,52.51666667,13.38333333,Germany
Vicente Leñero,Guadalajara,20.67666667,-103.3475,Mexico
Enrique Lihn Carrasco,Santiago,-33.4375,-70.65,Chile
Wolfgang A. Luchting,,,,
José Martínez Sotomayor,Guadalajara,20.67666667,-103.3475,Mexico
Augusto Monterroso,Tegucigalpa,14.09416667,-87.20666667,Honduras
Manuel Mujica Lainez,Buenos Aires,-34.59972222,-58.38194444,Argentina
Salvador Novo,Mexico City,19.41944444,-99.14555556,Mexico
Silvina Ocampo,Buenos Aires,-34.59972222,-58.38194444,Argentina
María Rosa Oliver,Buenos Aires,-34.59972222,-58.38194444,Argentina
Abelardo Oquendo Cueto,Callao,-12.05222222,-77.13916667,Peru
Bernardo Ortiz de Montellano,Mexico City,19.41944444,-99.14555556,Mexico
José Emilio Pacheco,Mexico City,19.41944444,-99.14555556,Mexico
Yolanda Pantin,Caracas,10.5,-66.93333333,Venezuela
Octavio Paz,Mexico City,19.41944444,-99.14555556,Mexico
Néstor Perlongher,Avellaneda,-34.6625,-58.36777778,Argentina
Virgilio Piñera,Cárdenas,23.04277778,-81.20361111,Cuba
Ricardo Piglia,Adrogué,-34.8,-58.38333333,Argentina
Sergio Pitol,Puebla City,19.05138889,-98.21777778,Mexico
Alejandra Pizarnik,Avellaneda,-34.6625,-58.36777778,Argentina
Sergio Ramírez,Masatepe,11.914475,-86.14455833,Nicaragua
Reina María Rodríguez,Havana,23.13666667,-82.35888889,Cuba
Emir Rodríguez Monegal,Melo,-32.36666667,-54.18333333,Uruguay
Juan José Saer,Serodino,-32.6,-60.95,Argentina
Danubio Torres Fierro,,,,
Mercedes Valdivieso,Santiago,-33.4375,-70.65,Chile
Mario Vargas Llosa,Arequipa,-16.39876389,-71.53688333,Peru
Idea Vilariño,Montevideo,-34.86666667,-56.16666667,Uruguay
Oscar Hermes Villordo,Machagai,-26.91666667,-60.03333333,Argentina
Mauricio Wacquez,Cunaco,-34.6512,-71.2839,Chile
Álvaro Yunque,La Plata,-34.93333333,-57.95,Argentina
Saúl Yurkievich,La Plata,-34.93333333,-57.95,Argentina