author,place_of_death,lat_place_of_death,long_place_of_death,country_of_death
Juan Abreu,,,,
Margarita Aguirre,Santiago,-33.4375,-70.65,Chile
Claribel Alegría Vides,Managua,12.15437222,-86.27376667,Nicaragua
Rodolfo Alonso,,,,
Jorge Amado,Salvador,-12.98305556,-38.49277778,Brazil
Reinaldo Arenas Fuentes,New York City,40.7,-74,United States of America
Antón Arrufat,Havana,23.13666667,-82.35888889,Cuba
Miguel Ángel Asturias Rosales,Madrid,40.41694444,-3.703333333,Spain
Francisco Ayala,Madrid,40.41694444,-3.703333333,Spain
Antonio Benítez-Rojo,Cuba,22,-79.5,Cuba
José Bianco,Buenos Aires,-34.59972222,-58.38194444,Argentina
Jorge Luis Borges,Geneva,46.2,6.15,Switzerland
Guillermo Cabrera Infante,London,51.50722222,-0.1275,United Kingdom
Bernardo Canal Feijóo,,,,
J. G. Cobo Borda,Bogotá,4.60971,-74.08175,Colombia
Julio Florencio Cortazar,10th arrondissement of Paris,48.87550833,2.357852778,France
Edgardo Cozarinsky,,,,
Arcadio Díaz Quiñones,,,,
Jorge Díaz,Santiago,-33.4375,-70.65,Chile
Eliseo Diego,Mexico City,19.41944444,-99.14555556,Mexico
José Donoso,Santiago,-33.4375,-70.65,Chile
Jorge Edwards,Madrid,40.41694444,-3.703333333,Spain
Diamela Eltit,,,,
Claude Esteban,Paris,48.85666667,2.352222222,France
Rosario Ferré,San Juan,18.46555556,-66.11805556,United States of America
Enrique Fierro,Austin,30.3,-97.73333333,United States of America
Ida Vitale,,,,
Carlos Franqui,San Juan,18.46555556,-66.11805556,United States of America
Carlos Fuentes,Mexico City,19.41944444,-99.14555556,Mexico
Gabriel García Márquez,Mexico City,19.41944444,-99.14555556,Mexico
Rogelio García Lupo,Palermo,-34.58888889,-58.43055556,Argentina
Juan García Ponce,Mexico City,19.41944444,-99.14555556,Mexico
Lorenzo García Vega,Miami,25.78333333,-80.21666667,United States of America
Elena Garro,Cuernavaca,18.91861111,-99.23416667,Mexico
Juan Gelman,Mexico City,19.41944444,-99.14555556,Mexico
Alberto Girri,Buenos Aires,-34.59972222,-58.38194444,Argentina
Margo Glantz,,,,
Severo Sarduy,Paris,48.85666667,2.352222222,France
Roberto Gottardi,Havana,23.13666667,-82.35888889,Cuba
Pedro Juan Gutiérrez,,,,
Reynaldo Hahn,Paris,48.85666667,2.352222222,France
Lorenzo Homar,Puerta de Tierra,18.46361111,-66.09666944,United States of America
Jorge Ibargüengoitia,Madrid,40.41694444,-3.703333333,Spain
Tamara Kamenszain,Buenos Aires,-34.59972222,-58.38194444,Argentina
Sonja Petra Karsen,,,,
Vicente Leñero,Mexico City,19.41944444,-99.14555556,Mexico
Enrique Lihn Carrasco,Santiago,-33.4375,-70.65,Chile
Wolfgang A. Luchting,,,,
José Martínez Sotomayor,,,,
Augusto Monterroso,Mexico City,19.41944444,-99.14555556,Mexico
Manuel Mujica Lainez,Córdoba Province,-32,-64,Argentina
Salvador Novo,Mexico City,19.41944444,-99.14555556,Mexico
Silvina Ocampo,Buenos Aires,-34.59972222,-58.38194444,Argentina
María Rosa Oliver,Buenos Aires,-34.59972222,-58.38194444,Argentina
Abelardo Oquendo Cueto,Lima,-12.06,-77.0375,Peru
Bernardo Ortiz de Montellano,Mexico City,19.41944444,-99.14555556,Mexico
José Emilio Pacheco,Mexico City,19.41944444,-99.14555556,Mexico
Yolanda Pantin,,,,
Octavio Paz,Mexico City,19.41944444,-99.14555556,Mexico
Néstor Perlongher,São Paulo,-23.55039444,-46.63394722,Brazil
Virgilio Piñera,Havana,23.13666667,-82.35888889,Cuba
Ricardo Piglia,Buenos Aires,-34.59972222,-58.38194444,Argentina
Sergio Pitol,Xalapa,19.53124,-96.91589,Mexico
Alejandra Pizarnik,Buenos Aires,-34.59972222,-58.38194444,Argentina
Sergio Ramírez,,,,
Reina María Rodríguez,,,,
Emir Rodríguez Monegal,New Haven,41.30833333,-72.925,United States of America
Juan José Saer,Paris,48.85666667,2.352222222,France
Danubio Torres Fierro,,,,
Mercedes Valdivieso,Santiago,-33.4375,-70.65,Chile
Mario Vargas Llosa,,,,
Idea Vilariño,Montevideo,-34.86666667,-56.16666667,Uruguay
Oscar Hermes Villordo,Buenos Aires,-34.59972222,-58.38194444,Argentina
Mauricio Wacquez,Alcañiz,41.050254,-0.1329565,Spain
Álvaro Yunque,Tandil,-37.31666667,-59.13333333,Argentina
Saúl Yurkievich,Caumont-sur-Durance,43.89472222,4.946388889,France